vin,display_color,year,make,model,price,mileage,city,condition,dealer_name,state,trim,body_style
5TFDW5F16KX806724,Magnetic Gray Metallic,2019,Toyota,Tundra,"$42,999","48,010 Miles",Stafford,used,Texas Direct Auto,TX,SR5,truck
1FMCU0GD3KUA04948,Blue,2019,Ford,Escape,"$20,998","38,350 Miles",Houston,used,CarMax Gulf Freeway - Now offering Curbside Pickup and Home Delivery,TX,SE,suv
JTEBU5JRXJ5506510,Blue,2018,Toyota,4Runner,"$33,499","50,577 Miles",Stafford,used,Texas Direct Auto,TX,SR5,suv
5LMCJ1A91FUJ11146,Black,2015,Lincoln,MKC,"$17,350","61,246 Miles",Salem,used,Shift Northern Oregon - Test Drives Delivered to You,OR,Base,suv
3C4NJCBB4JT204730,Redline Pearlcoat,2018,Jeep,Compass,"$22,988","28,098 Miles",Montclair,used,Westcoast Auto Sales,CA,Latitude,suv
1C4RJKBG6M8173054,Silver Zynith,2021,Jeep,Grand Cherokee L,"$53,425",New,Chesapeake,new,Hall Chrysler Dodge Jeep Ram Chesapeake,VA,Limited,suv
1G6KW5RJ6KU137782,Black Raven,2019,Cadillac,CT6-V,"$79,499","21,345 Miles",Stafford,used,Texas Direct Auto,TX,4.2TT,sedan
ZASFAKRN6J7C22477,Alfa Rosso,2018,Alfa Romeo,Stelvio,"$31,499","12,091 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,Ti Lusso,crossover
1GNERGKW4MJ210467,Mosaic Black Metallic,2021,Chevrolet,Traverse,"$35,309",New,Miami,new,Bomnin Chevrolet West Kendall,FL,LT Cloth,suv
1C4HJXDGXKW558325,Ocean Blue Metallic Clearcoat,2019,Jeep,Wrangler Unlimited,"$37,750","30,796 Miles",Parkville,used,Heritage Chrysler Jeep Dodge Ram Parkville,MD,Sport,suv
3GTU2NEC7HG374818,Cardinal Red,2017,GMC,Sierra 1500,"$38,500","92,588 Miles",Scottsdale,used,Certified Benz and Beemer,AZ,SLT,truck
3VV3B7AX5JM001883,White Silver Metallic,2018,Volkswagen,Tiguan,"$21,327","83,026 Miles",Peoria,used,Peoria Nissan,AZ,2.0T SE,suv
JTHU9JBHXK2012369,Silver Lining Metallic,2019,Lexus,UX 250h,"$37,677","7,601 Miles",Anacortes,used,Frontier Ford Incorporated,WA,Luxury,crossover
JTEBU5JR3G5401591,Blue,2016,Toyota,4Runner,"$36,998","71,551 Miles",Virginia Beach,used,CarMax Virginia Beach - Now offering Curbside Pickup and Home Delivery,VA,Trail,suv
5NPE34AF1FH100756,White,2015,Hyundai,Sonata,"$11,495","99,800 Miles",Naugatuck,used,A Better Way Wholesale,CT,Sport,sedan
