price,make,model,year,mileage,display_color,vin,dealer_name,state,trim,body_style,condition,city
12499,Honda,CRV,2011,101821 ,Opal Sage Metallic,5J6RE4H38BL069643,Texas Direct Auto,TX,LX,suv,used,Stafford
15998,Honda,CRV,2011,102257 ,Brown,5J6RE4H70BL010797,CarMax Dothan - Now offering Curbside Pickup,AL,EX-L,suv,used,Dothan
12470,Nissan,Armada,2011,150147 ,Gray,5N1AA0NC2BN619057,Ken Garff Nissan Salt Lake,UT,SL,suv,used,Salt Lake City
11980,Honda,Odyssey,2011,126499 ,Dark Cherry Pearl,5FNRL5H6XBB046685,Kearny Mesa Subaru,CA,EX-L w/Navi,minivan,used,San Diego
23998,Ford,F150,2011,58829 ,White,1FTMF1EM5BFA55903,CarMax Greensboro - Now offering Curbside Pickup and Home Delivery,NC,STX,truck,used,Greensboro
21901,Chevrolet,Silverado 1500,2011,96687 ,Silver,3GCPKSE32BG292191,Ken Garff Chevrolet,UT,LT,truck,used,American Fork
10495,Cadillac,CTS,2011,130742 ,Thunder Gray ChromaFlair,1G6DG5EY0B0128155,Lynch Chrysler Dodge Jeep Ram,WI,3.0L Luxury,sedan,used,Mukwonago
36600,Chevrolet,Silverado 2500HD,2011,138328 ,Blue,1GC1KXC89BF262866,Castle Auto Sales,WA,LT,truck,used,Lynnwood
21975,Chevrolet,Camaro,2011,22822 ,Red Jewel Tintcoat,2G1FC1ED4B9116757,Hiland Toyota,IL,LT,coupe,used,Moline
14852,Nissan,Titan,2011,151792 ,Blue Steel,1N6AA0ED2BN302115,Peoria Nissan,AZ,SL,truck,used,Peoria
7500,Chevrolet,Equinox,2011,121941 ,Cyber Gray Metallic,2CNALBECXB6317073,Schafer Chevrolet,MI,LS,suv,used,Pinconning
35698,Ford,F250 Super Duty,2011,110922 ,Black,1FT7W2BT0BEB08558,Chevrolet Buick GMC of Millersburg,OH,Lariat,truck,used,Millersburg
19995,Chevrolet,Silverado 1500,2011,100736 ,Blue Granite Metallic,3GCPCSEA3BG151402,El Dorado Chevrolet,TX,LT,truck,used,Mckinney
27998,Chevrolet,Silverado 1500,2011,77081 ,Blue,3GCPCTE00BG396784,CarMax North Houston - Now offering Curbside Pickup and Home Delivery,TX,LTZ,truck,used,Houston
22975,Toyota,Sienna,2011,88854 ,Gray,5TDDK3DC4BS028997,Maximum Auto Search,CO,XLE 7-Passenger,minivan,used,Englewood
2899,ford,se,2011,190552,silver,  2fmdk3gc4bbb02217,166951262,TN,N/A,N/A,used,N/A
13840,Jeep,Grand Cherokee,2011,92804 ,Black,1J4RR5GT4BC526203,Quebedeaux Buick GMC,AZ,Limited,suv,used,Tucson
5380,gmc,cab,2011,119215,white,  1gt120cg5bf167316,167702775,UT,N/A,N/A,used,N/A
11899,Toyota,Sienna,2011,184087 ,Silver Sky Metallic,5TDYK3DC9BS109799,Florida Fine Cars Miami,FL,XLE 8-Passenger,minivan,used,Miami
11999,Ford,F150,2011,203203 ,Ingot Silver Metallic,1FTFW1CT6BFB29980,Florida Fine Cars Miami,FL,XLT,truck,used,Miami
10999,Infiniti,G37,2011,102219 ,Black Obsidian,JN1CV6AR0BM351861,Cal Auto Net,CA,x,sedan,used,Inglewood
37989,Ram,Pickup 2500,2011,100193 ,Deep Water Blue Pearlcoat,3D7UT2CL8BG618889,Smart Chevrolet,NC,ST,truck,used,Madison
15995,Lexus,RX 350,2011,111034 ,WHITE,2T2ZK1BAXBC042323,Southeast Auto Inc,LA,Base,suv,used,Walker
13600,Toyota,Avalon,2011,104667 ,Silver,4T1BK3DBXBU376275,Shift San Diego - Test Drives Delivered to You,CA,Base,sedan,used,Oceanside
43999,Ford,F150,2011,77221 ,Ingot Silver Metallic,1FTFW1R68BFB33644,California Motors Direct1,CA,SVT Raptor,truck,used,Santa Ana
15500,Lexus,RX 450h,2011,119501 ,Gray,JTJZB1BA5B2403831,Shift LA - Test Drives Delivered to You,CA,Base,suv,used,Commerce
10440,chevrolet,cab,2011,92476,blue,  1gc1kyc87bf185906,167660387,FL,N/A,N/A,used,N/A
8430,chevrolet,utility,2011,114547,black,  3gntkge3xbg398052,167660399,FL,N/A,N/A,used,N/A
19999,GMC,Sierra 1500,2011,91961 ,Fire Red,1GTN1VEA7BZ155211,OC Auto Exchange,CA,SLE,truck,used,Fullerton
15700,ford,cab,2011,309564,white,  1fduf5gt8bea80212,167756640,south carolina,N/A,N/A,used,N/A
6680,heartland,country,2011,1,gray,  5sfbg3524be216811,167266214,PA,N/A,N/A,used,N/A
19500,ford,drw,2011,76897,white,  1fd8w3gt0beb32874,167759102,PA,N/A,N/A,used,N/A
2900,ford,cargo,2011,190994,white,  1ftne2ew6bda76057,167758509,FL,N/A,N/A,used,N/A
17499,Audi,A6,2012,110431 ,White,WAUHGAFCXCN071460,Tucson Used Auto Sales,AZ,3.0T quattro Prestige,sedan,used,Tucson
25998,Ford,F150,2012,85462 ,Red,1FTEW1CM2CFB28962,CarMax Tulsa - Now offering Curbside Pickup,OK,XLT,truck,used,Tulsa
10125,Nissan,Altima,2012,92018 ,Black,1N4AL2AP8CN433792,Ken Garff Nissan Riverdale,UT,2.5 S,sedan,used,Riverdale
10400,Kia,Sportage,2012,125505 ,Signal Red,KNDPB3A26C7332983,Hall Chrysler Dodge Jeep Ram Virginia Beach,VA,LX,suv,used,Virginia Beach
19064,Jeep,Wrangler,2012,85276 ,Deep Cherry Red Crystal Pearlcoat,1C4AJWAG4CL194177,Chapman Northeast Ford Volkswagen,PA,Sport,suv,used,Philadelphia
12998,Hyundai,Elantra,2012,86143 ,Silver,KMHDH4AE7CU345546,CarMax Palmdale - Now offering Curbside Pickup and Home Delivery,CA,GLS,sedan,used,Palmdale
16950,Honda,CRV,2012,46532 ,Gray,5J6RM3H51CL008327,Shift LA - Test Drives Delivered to You,CA,EX,suv,used,Commerce
19800,Jeep,Wrangler,2012,87313 ,Black Clearcoat,1C4AJWAG1CL260989,Hall Ford Lincoln Newport News,VA,Sport,suv,used,Newport News
10545,Hyundai,Elantra,2012,54690 ,Black,KMHDH4AEXCU378833,Lynnes Auto Group,NJ,GLS,sedan,used,Bloomfield
17998,Chevrolet,Camaro,2012,81563 ,Black,2G1FB1E39C9119410,CarMax West Sahara - Now offering Curbside Pickup and Home Delivery,NV,LT,coupe,used,Las Vegas
29996,Jeep,Wrangler Unlimited,2012,71405 ,Black,1C4BJWFGXCL281191,Texas Car One,TX,Rubicon,suv,used,Carrollton
13998,Volkswagen,Jetta,2012,65777 ,Gray,3VWDX7AJ5CM063171,CarMax Cincinnati - Now offering Curbside Pickup,OH,SE,sedan,used,Cincinnati
16495,Toyota,RAV4,2012,49155 ,Silver,2T3BF4DV4CW205339,Auto Lenders Newtown Square,PA,Base,suv,used,Newtown Square
19998,Buick,Enclave,2012,68509 ,White,5GAKRCED8CJ393502,CarMax Gainesville - Now offering Curbside Pickup,FL,Leather,suv,used,Gainesville
32998,Toyota,Tundra,2012,79339 ,Red,5TFFY5F12CX129112,CarMax Greenville - Now offering Curbside Pickup,SC,Limited,truck,used,Greenville
55000,Porsche,Cayman,2012,60001 ,Silver,WP0AB2A82CS793468,Mercedes-Benz/Audi/Porsche Albuquerque,NM,R,coupe,used,Albuquerque
21999,Ram,1500,2012,151034 ,Black,1C6RD7LT9CS222367,Northwest Motorsport - Puyallup,WA,Outdoorsman,truck,used,Puyallup
14998,Toyota,Camry,2012,95597 ,Blue,4T1BF1FK4CU110936,CarMax Columbus Sawmill - Now offering Curbside Pickup and Home Delivery,OH,SE,sedan,used,Columbus
17998,Lexus,ES 350,2012,73760 ,Gold,JTHBK1EG4C2511278,CarMax Frederick - Now offering Curbside Pickup,MD,Base,sedan,used,Frederick
11999,BMW,5 Series,2012,114622 ,Tasman Green Metallic,WBAXG5C55CDW92281,California Motor Trend,CA,528i,sedan,used,Downey
26500,Jeep,Wrangler Unlimited,2012,82048 ,Black Clearcoat,1C4HJWDG5CL136833,Hall Hyundai Newport News,VA,Sport,suv,used,Newport News
18998,Volvo,S80,2012,55064 ,Gray,YV1902AH2C1158579,CarMax Westborough - Now offering Curbside Pickup,MA,T6,sedan,used,Westborough
29999,Ford,F150,2012,106021 ,Tuxedo Black Metallic,1FTFW1E60CFC15746,Cloninger Ford of Hickory,NC,Harley-Davidson,truck,used,Hickory
18885,Mercedes-Benz,SClass,2012,125628 ,Black,WDDNG7DB6CA423739,Car Search USA,CA,S 550,sedan,used,North Hollywood
23996,GMC,Sierra 1500,2012,90706 ,Midnight Blue Metallic,3GTP2VE72CG268009,Texas Car One,TX,SLE,truck,used,Carrollton
19994,Mercedes-Benz,CLS,2012,95822 ,Black,WDDLJ9BB7CA054767,Benji Auto Sales Broward,FL,CLS 550 4MATIC,sedan,used,West Park
